"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R21,R22";"Resistor_Horizontal_RM7mm";2;"4R99";;;
2;"L5,L4,L6,L3,L7";"Choke_SMD_1206_Handsoldering";5;"FB";;;
3;"P1,P2";"Pin_Header_Straight_2x13";2;"CONN_02X13";;;
4;"C41,C37,C42,C43";"SMD-1210_Pol";4;"10uF";;;
5;"U8,U9";"TO-220_4pin_vertical";2;"KA278R05";;;
6;"C47,C49,C48";"SMD-2010_Pol";3;"10uF";;;
7;"C44,C50,C35,C36,C34,C33,C39,C38,C45,C51,C46,C52,C31";"C_1206_HandSoldering";13;"0.1uF";;;
8;"R13";"R_1206_HandSoldering";1;"75";;;
9;"C53,C55,C57,C54,C40";"SMD-1210_Pol";5;"100uF";;;
10;"K1,K2";"RF_RELAY";2;"RELAY_RF";;;
11;"C1";"C_1210_HandSoldering";1;"100uF";;;
12;"P8,P10,P14,P9,P15";"BNC_VERTICAL";5;"BNC";;;
13;"U6";"SOT-143_Handsoldering";1;"MAX2611";;;
14;"J4,J3,J5";"SMA_F_RA";3;"SMA";;;
15;"R14";"R_1206_HandSoldering";1;"50";;;
16;"C32,C3,C24,C25,C56";"C_1210_HandSoldering";5;"1uF";;;
17;"P13";"Pin_Header_Straight_1x02";1;"CONN_01X02";;;
18;"T2";"ADT1.5-1";1;"ADT1.5-1";;;
19;"R18,R17,R19,R20";"Resistor_Horizontal_RM7mm";4;"1K";;;
20;"HS3,HS2";"Heatsink_Fischer_SK129-STS_42x25mm_2xDrill2.5mm";2;"HEATSINK";;;
21;"U11,U12";"RA_POWER_POLE";2;"PwrPole";;;
22;"R23,R24";"RES_10W";2;"2R2";;;
23;"U10";"TO-220_4pin_vertical";1;"KA278R12";;;
24;"R27,R25,R26";"R_1206_HandSoldering";3;"4.7K";;;
25;"REF**";"1pin";1;"1pin";;;
26;"P24";"USBA_VERT_STVW";1;"USB_A";;;
27;"C30,C2";"C_1210_HandSoldering";2;"10uF";;;
28;"U1,U2";"DIP-16_W7.62mm";2;"ULN2004A";;;
29;"P3,P4";"Pin_Header_Straight_1x29";2;"CONN_01X29";;;
30;"J1";"DB15FC";1;"DB15";;;
31;"J2";"DB25FC";1;"DB25";;;
32;"J10,J8,J6,J9,J11";"RA_3p5_audio_jack";5;"JACK_2P";;;
33;"CON1";"BARREL_JACK";1;"BARREL_JACK";;;
34;"F1";"Fuse_SMD1206_HandSoldering";1;"FUSE";;;
35;"R15,R16";"Resistor_Horizontal_RM7mm";2;"100";;;
36;"T1";"TC4-1T";1;"TC4-LT";;;
37;"U7";"SOIC-8-N";1;"OPA26741C";;;
